Date,Region,Pollen,Level_Value,Level_Description,Forecast_Start,Forecast_End
2025-05-13,Göteborg,Ek,5,Level 5,2025-05-13,2025-05-14
2025-05-13,Göteborg,Gräs,0,Level 0,2025-05-13,2025-05-14
2025-05-13,Göteborg,Gråbo,0,Level 0,2025-05-13,2025-05-14
2025-05-13,Göteborg,Hassel,0,Level 0,2025-05-13,2025-05-14
2025-05-13,Göteborg,Malörtsambrosia,0,Level 0,2025-05-13,2025-05-14
2025-05-13,Göteborg,Sälg och viden,1,Level 1,2025-05-13,2025-05-14
2025-05-14,Göteborg,Al,0,Level 0,2025-05-14,2025-05-15
2025-05-14,Göteborg,Alm,0,Level 0,2025-05-14,2025-05-15
2025-05-14,Göteborg,Björk,1,Level 1,2025-05-14,2025-05-15
2025-05-14,Göteborg,Bok,1,Level 1,2025-05-14,2025-05-15
2025-05-14,Göteborg,Ek,5,Level 5,2025-05-14,2025-05-15
2025-05-14,Göteborg,Gräs,0,Level 0,2025-05-14,2025-05-15
2025-05-14,Göteborg,Gråbo,0,Level 0,2025-05-14,2025-05-15
2025-05-14,Göteborg,Hassel,0,Level 0,2025-05-14,2025-05-15
2025-05-14,Göteborg,Malörtsambrosia,0,Level 0,2025-05-14,2025-05-15
2025-05-14,Göteborg,Sälg och viden,1,Level 1,2025-05-14,2025-05-15
2025-05-15,Göteborg,Al,0,Level 0,2025-05-15,2025-05-16
2025-05-15,Göteborg,Alm,0,Level 0,2025-05-15,2025-05-16
2025-05-15,Göteborg,Björk,1,Level 1,2025-05-15,2025-05-16
2025-05-15,Göteborg,Bok,1,Level 1,2025-05-15,2025-05-16
2025-05-15,Göteborg,Ek,5,Level 5,2025-05-15,2025-05-16
2025-05-15,Göteborg,Gräs,0,Level 0,2025-05-15,2025-05-16
2025-05-15,Göteborg,Gråbo,0,Level 0,2025-05-15,2025-05-16
2025-05-15,Göteborg,Hassel,0,Level 0,2025-05-15,2025-05-16
2025-05-15,Göteborg,Malörtsambrosia,0,Level 0,2025-05-15,2025-05-16
2025-05-15,Göteborg,Sälg och viden,1,Level 1,2025-05-15,2025-05-16
2025-05-16,Göteborg,Al,0,Level 0,2025-05-16,2025-05-19
2025-05-16,Göteborg,Alm,0,Level 0,2025-05-16,2025-05-19
2025-05-16,Göteborg,Björk,1,Level 1,2025-05-16,2025-05-19
2025-05-16,Göteborg,Bok,1,Level 1,2025-05-16,2025-05-19
2025-05-16,Göteborg,Ek,5,Level 5,2025-05-16,2025-05-19
2025-05-16,Göteborg,Gräs,1,Level 1,2025-05-16,2025-05-19
2025-05-16,Göteborg,Gråbo,0,Level 0,2025-05-16,2025-05-19
2025-05-16,Göteborg,Hassel,0,Level 0,2025-05-16,2025-05-19
2025-05-16,Göteborg,Malörtsambrosia,0,Level 0,2025-05-16,2025-05-19
2025-05-16,Göteborg,Sälg och viden,1,Level 1,2025-05-16,2025-05-19
2025-05-19,Göteborg,Al,0,Level 0,2025-05-19,2025-05-20
2025-05-19,Göteborg,Alm,0,Level 0,2025-05-19,2025-05-20
2025-05-19,Göteborg,Björk,2,Level 2,2025-05-19,2025-05-20
2025-05-19,Göteborg,Bok,1,Level 1,2025-05-19,2025-05-20
2025-05-19,Göteborg,Ek,5,Level 5,2025-05-19,2025-05-20
2025-05-19,Göteborg,Gräs,1,Level 1,2025-05-19,2025-05-20
2025-05-19,Göteborg,Gråbo,0,Level 0,2025-05-19,2025-05-20
2025-05-19,Göteborg,Hassel,0,Level 0,2025-05-19,2025-05-20
2025-05-19,Göteborg,Malörtsambrosia,0,Level 0,2025-05-19,2025-05-20
2025-05-19,Göteborg,Sälg och viden,1,Level 1,2025-05-19,2025-05-20
2025-05-20,Göteborg,Al,0,Level 0,2025-05-20,2025-05-21
2025-05-20,Göteborg,Alm,0,Level 0,2025-05-20,2025-05-21
2025-05-20,Göteborg,Björk,4,Level 4,2025-05-20,2025-05-21
2025-05-20,Göteborg,Bok,1,Level 1,2025-05-20,2025-05-21
2025-05-20,Göteborg,Ek,4,Level 4,2025-05-20,2025-05-21
2025-05-20,Göteborg,Gräs,1,Level 1,2025-05-20,2025-05-21
2025-05-20,Göteborg,Gråbo,0,Level 0,2025-05-20,2025-05-21
2025-05-20,Göteborg,Hassel,0,Level 0,2025-05-20,2025-05-21
2025-05-20,Göteborg,Malörtsambrosia,0,Level 0,2025-05-20,2025-05-21
2025-05-20,Göteborg,Sälg och viden,1,Level 1,2025-05-20,2025-05-21
2025-05-21,Göteborg,Al,0,Level 0,2025-05-21,2025-05-22
2025-05-21,Göteborg,Alm,0,Level 0,2025-05-21,2025-05-22
2025-05-21,Göteborg,Björk,2,Level 2,2025-05-21,2025-05-22
2025-05-21,Göteborg,Bok,1,Level 1,2025-05-21,2025-05-22
2025-05-21,Göteborg,Ek,2,Level 2,2025-05-21,2025-05-22
2025-05-21,Göteborg,Gräs,1,Level 1,2025-05-21,2025-05-22
2025-05-21,Göteborg,Gråbo,0,Level 0,2025-05-21,2025-05-22
2025-05-21,Göteborg,Hassel,0,Level 0,2025-05-21,2025-05-22
2025-05-21,Göteborg,Malörtsambrosia,0,Level 0,2025-05-21,2025-05-22
2025-05-21,Göteborg,Sälg och viden,1,Level 1,2025-05-21,2025-05-22
2025-05-22,Göteborg,Al,0,Level 0,2025-05-22,2025-05-23
2025-05-22,Göteborg,Alm,0,Level 0,2025-05-22,2025-05-23
2025-05-22,Göteborg,Björk,1,Level 1,2025-05-22,2025-05-23
2025-05-22,Göteborg,Bok,1,Level 1,2025-05-22,2025-05-23
2025-05-22,Göteborg,Ek,1,Level 1,2025-05-22,2025-05-23
2025-05-22,Göteborg,Gräs,1,Level 1,2025-05-22,2025-05-23
2025-05-22,Göteborg,Gråbo,0,Level 0,2025-05-22,2025-05-23
2025-05-22,Göteborg,Hassel,0,Level 0,2025-05-22,2025-05-23
2025-05-22,Göteborg,Malörtsambrosia,0,Level 0,2025-05-22,2025-05-23
2025-05-22,Göteborg,Sälg och viden,1,Level 1,2025-05-22,2025-05-23
2025-05-23,Göteborg,Al,0,Level 0,2025-05-23,2025-05-26
2025-05-23,Göteborg,Alm,0,Level 0,2025-05-23,2025-05-26
2025-05-23,Göteborg,Björk,1,Level 1,2025-05-23,2025-05-26
2025-05-23,Göteborg,Bok,1,Level 1,2025-05-23,2025-05-26
2025-05-23,Göteborg,Ek,2,Level 2,2025-05-23,2025-05-26
2025-05-23,Göteborg,Gräs,1,Level 1,2025-05-23,2025-05-26
2025-05-23,Göteborg,Gråbo,0,Level 0,2025-05-23,2025-05-26
2025-05-23,Göteborg,Hassel,0,Level 0,2025-05-23,2025-05-26
2025-05-23,Göteborg,Malörtsambrosia,0,Level 0,2025-05-23,2025-05-26
2025-05-23,Göteborg,Sälg och viden,1,Level 1,2025-05-23,2025-05-26
2025-05-26,Göteborg,Al,0,Level 0,2025-05-26,2025-05-27
2025-05-26,Göteborg,Alm,0,Level 0,2025-05-26,2025-05-27
2025-05-26,Göteborg,Björk,1,Level 1,2025-05-26,2025-05-27
2025-05-26,Göteborg,Bok,0,Level 0,2025-05-26,2025-05-27
2025-05-26,Göteborg,Ek,1,Level 1,2025-05-26,2025-05-27
2025-05-26,Göteborg,Gräs,1,Level 1,2025-05-26,2025-05-27
2025-05-26,Göteborg,Gråbo,0,Level 0,2025-05-26,2025-05-27
2025-05-26,Göteborg,Hassel,0,Level 0,2025-05-26,2025-05-27
2025-05-26,Göteborg,Malörtsambrosia,0,Level 0,2025-05-26,2025-05-27
2025-05-26,Göteborg,Sälg och viden,0,Level 0,2025-05-26,2025-05-27
2025-05-27,Göteborg,Al,0,Level 0,2025-05-27,2025-05-28
2025-05-27,Göteborg,Alm,0,Level 0,2025-05-27,2025-05-28
2025-05-27,Göteborg,Björk,1,Level 1,2025-05-27,2025-05-28
2025-05-27,Göteborg,Bok,0,Level 0,2025-05-27,2025-05-28
2025-05-27,Göteborg,Ek,1,Level 1,2025-05-27,2025-05-28
2025-05-27,Göteborg,Gräs,1,Level 1,2025-05-27,2025-05-28
2025-05-27,Göteborg,Gråbo,0,Level 0,2025-05-27,2025-05-28
2025-05-27,Göteborg,Hassel,0,Level 0,2025-05-27,2025-05-28
2025-05-27,Göteborg,Malörtsambrosia,0,Level 0,2025-05-27,2025-05-28
2025-05-27,Göteborg,Sälg och viden,0,Level 0,2025-05-27,2025-05-28
2025-05-28,Göteborg,Al,0,Level 0,2025-05-28,2025-05-30
2025-05-28,Göteborg,Alm,0,Level 0,2025-05-28,2025-05-30
2025-05-28,Göteborg,Björk,1,Level 1,2025-05-28,2025-05-30
2025-05-28,Göteborg,Bok,0,Level 0,2025-05-28,2025-05-30
2025-05-28,Göteborg,Ek,2,Level 2,2025-05-28,2025-05-30
2025-05-28,Göteborg,Gräs,2,Level 2,2025-05-28,2025-05-30
2025-05-28,Göteborg,Gråbo,0,Level 0,2025-05-28,2025-05-30
2025-05-28,Göteborg,Hassel,0,Level 0,2025-05-28,2025-05-30
2025-05-28,Göteborg,Malörtsambrosia,0,Level 0,2025-05-28,2025-05-30
2025-05-28,Göteborg,Sälg och viden,0,Level 0,2025-05-28,2025-05-30
2025-05-30,Göteborg,Al,0,Level 0,2025-05-30,2025-06-02
2025-05-30,Göteborg,Alm,0,Level 0,2025-05-30,2025-06-02
2025-05-30,Göteborg,Björk,1,Level 1,2025-05-30,2025-06-02
2025-05-30,Göteborg,Bok,0,Level 0,2025-05-30,2025-06-02
2025-05-30,Göteborg,Ek,1,Level 1,2025-05-30,2025-06-02
2025-05-30,Göteborg,Gräs,1,Level 1,2025-05-30,2025-06-02
2025-05-30,Göteborg,Gråbo,0,Level 0,2025-05-30,2025-06-02
2025-05-30,Göteborg,Hassel,0,Level 0,2025-05-30,2025-06-02
2025-05-30,Göteborg,Malörtsambrosia,0,Level 0,2025-05-30,2025-06-02
2025-05-30,Göteborg,Sälg och viden,0,Level 0,2025-05-30,2025-06-02
2025-06-02,Göteborg,Al,0,Level 0,2025-06-02,2025-06-03
2025-06-02,Göteborg,Alm,0,Level 0,2025-06-02,2025-06-03
2025-06-02,Göteborg,Björk,1,Level 1,2025-06-02,2025-06-03
2025-06-02,Göteborg,Bok,0,Level 0,2025-06-02,2025-06-03
2025-06-02,Göteborg,Ek,2,Level 2,2025-06-02,2025-06-03
2025-06-02,Göteborg,Gräs,4,Level 4,2025-06-02,2025-06-03
2025-06-02,Göteborg,Gråbo,0,Level 0,2025-06-02,2025-06-03
2025-06-02,Göteborg,Hassel,0,Level 0,2025-06-02,2025-06-03
2025-06-02,Göteborg,Malörtsambrosia,0,Level 0,2025-06-02,2025-06-03
2025-06-02,Göteborg,Sälg och viden,0,Level 0,2025-06-02,2025-06-03
2025-06-03,Göteborg,Al,0,Level 0,2025-06-03,2025-06-04
2025-06-03,Göteborg,Alm,0,Level 0,2025-06-03,2025-06-04
2025-06-03,Göteborg,Björk,1,Level 1,2025-06-03,2025-06-04
2025-06-03,Göteborg,Bok,0,Level 0,2025-06-03,2025-06-04
2025-06-03,Göteborg,Ek,1,Level 1,2025-06-03,2025-06-04
2025-06-03,Göteborg,Gräs,4,Level 4,2025-06-03,2025-06-04
2025-06-03,Göteborg,Gråbo,0,Level 0,2025-06-03,2025-06-04
2025-06-03,Göteborg,Hassel,0,Level 0,2025-06-03,2025-06-04
2025-06-03,Göteborg,Malörtsambrosia,0,Level 0,2025-06-03,2025-06-04
2025-06-03,Göteborg,Sälg och viden,0,Level 0,2025-06-03,2025-06-04
2025-06-04,Göteborg,Al,0,Level 0,2025-06-04,2025-06-05
2025-06-04,Göteborg,Alm,0,Level 0,2025-06-04,2025-06-05
2025-06-04,Göteborg,Björk,1,Level 1,2025-06-04,2025-06-05
2025-06-04,Göteborg,Bok,0,Level 0,2025-06-04,2025-06-05
2025-06-04,Göteborg,Ek,1,Level 1,2025-06-04,2025-06-05
2025-06-04,Göteborg,Gräs,4,Level 4,2025-06-04,2025-06-05
2025-06-04,Göteborg,Gråbo,0,Level 0,2025-06-04,2025-06-05
2025-06-04,Göteborg,Hassel,0,Level 0,2025-06-04,2025-06-05
2025-06-04,Göteborg,Malörtsambrosia,0,Level 0,2025-06-04,2025-06-05
2025-06-04,Göteborg,Sälg och viden,0,Level 0,2025-06-04,2025-06-05
2025-06-05,Göteborg,Al,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Alm,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Björk,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Bok,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Ek,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Gräs,4,Level 4,2025-06-05,2025-06-09
2025-06-05,Göteborg,Gråbo,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Hassel,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Malörtsambrosia,0,Level 0,2025-06-05,2025-06-09
2025-06-05,Göteborg,Sälg och viden,0,Level 0,2025-06-05,2025-06-09
2025-06-09,Göteborg,Al,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Alm,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Björk,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Bok,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Ek,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Gräs,4,Level 4,2025-06-09,2025-06-10
2025-06-09,Göteborg,Gråbo,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Hassel,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Malörtsambrosia,0,Level 0,2025-06-09,2025-06-10
2025-06-09,Göteborg,Sälg och viden,0,Level 0,2025-06-09,2025-06-10
2025-06-10,Göteborg,Al,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Alm,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Björk,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Bok,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Ek,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Gräs,2,Level 2,2025-06-10,2025-06-11
2025-06-10,Göteborg,Gråbo,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Hassel,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Malörtsambrosia,0,Level 0,2025-06-10,2025-06-11
2025-06-10,Göteborg,Sälg och viden,0,Level 0,2025-06-10,2025-06-11
2025-06-11,Göteborg,Al,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Alm,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Björk,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Bok,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Ek,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Gräs,5,Level 5,2025-06-11,2025-06-13
2025-06-11,Göteborg,Gråbo,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Hassel,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Malörtsambrosia,0,Level 0,2025-06-11,2025-06-13
2025-06-11,Göteborg,Sälg och viden,0,Level 0,2025-06-11,2025-06-13
2025-06-13,Göteborg,Al,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Alm,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Björk,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Bok,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Ek,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Gräs,5,Level 5,2025-06-13,2025-06-16
2025-06-13,Göteborg,Gråbo,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Hassel,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Malörtsambrosia,0,Level 0,2025-06-13,2025-06-16
2025-06-13,Göteborg,Sälg och viden,0,Level 0,2025-06-13,2025-06-16
2025-06-16,Göteborg,Al,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Alm,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Björk,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Bok,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Ek,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Gräs,5,Level 5,2025-06-16,2025-06-17
2025-06-16,Göteborg,Gråbo,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Hassel,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Malörtsambrosia,0,Level 0,2025-06-16,2025-06-17
2025-06-16,Göteborg,Sälg och viden,0,Level 0,2025-06-16,2025-06-17
2025-06-17,Göteborg,Al,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Alm,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Björk,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Bok,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Ek,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Gräs,4,Level 4,2025-06-17,2025-06-18
2025-06-17,Göteborg,Gråbo,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Hassel,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Malörtsambrosia,0,Level 0,2025-06-17,2025-06-18
2025-06-17,Göteborg,Sälg och viden,0,Level 0,2025-06-17,2025-06-18
2025-06-18,Göteborg,Al,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Alm,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Björk,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Bok,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Ek,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Gräs,5,Level 5,2025-06-18,2025-06-19
2025-06-18,Göteborg,Gråbo,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Hassel,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Malörtsambrosia,0,Level 0,2025-06-18,2025-06-19
2025-06-18,Göteborg,Sälg och viden,0,Level 0,2025-06-18,2025-06-19
2025-06-19,Göteborg,Al,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Alm,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Björk,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Bok,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Ek,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Gräs,5,Level 5,2025-06-19,2025-06-23
2025-06-19,Göteborg,Gråbo,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Hassel,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Malörtsambrosia,0,Level 0,2025-06-19,2025-06-23
2025-06-19,Göteborg,Sälg och viden,0,Level 0,2025-06-19,2025-06-23
2025-06-23,Göteborg,Al,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Alm,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Björk,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Bok,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Ek,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Gräs,3,Level 3,2025-06-23,2025-06-24
2025-06-23,Göteborg,Gråbo,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Hassel,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Malörtsambrosia,0,Level 0,2025-06-23,2025-06-24
2025-06-23,Göteborg,Sälg och viden,0,Level 0,2025-06-23,2025-06-24
2025-06-24,Göteborg,Al,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Alm,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Björk,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Bok,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Ek,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Gräs,4,Level 4,2025-06-24,2025-06-25
2025-06-24,Göteborg,Gråbo,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Hassel,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Malörtsambrosia,0,Level 0,2025-06-24,2025-06-25
2025-06-24,Göteborg,Sälg och viden,0,Level 0,2025-06-24,2025-06-25
2025-06-25,Göteborg,Al,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Alm,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Björk,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Bok,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Ek,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Gräs,6,Level 6,2025-06-25,2025-06-26
2025-06-25,Göteborg,Gråbo,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Hassel,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Malörtsambrosia,0,Level 0,2025-06-25,2025-06-26
2025-06-25,Göteborg,Sälg och viden,0,Level 0,2025-06-25,2025-06-26
2025-06-26,Göteborg,Al,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Alm,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Björk,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Bok,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Ek,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Gräs,4,Level 4,2025-06-26,2025-06-27
2025-06-26,Göteborg,Gråbo,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Hassel,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Malörtsambrosia,0,Level 0,2025-06-26,2025-06-27
2025-06-26,Göteborg,Sälg och viden,0,Level 0,2025-06-26,2025-06-27
2025-06-27,Göteborg,Al,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Alm,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Björk,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Bok,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Ek,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Gräs,4,Level 4,2025-06-27,2025-06-30
2025-06-27,Göteborg,Gråbo,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Hassel,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Malörtsambrosia,0,Level 0,2025-06-27,2025-06-30
2025-06-27,Göteborg,Sälg och viden,0,Level 0,2025-06-27,2025-06-30
2025-06-30,Göteborg,Al,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Alm,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Björk,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Bok,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Ek,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Gräs,6,Level 6,2025-06-30,2025-07-01
2025-06-30,Göteborg,Gråbo,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Hassel,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Malörtsambrosia,0,Level 0,2025-06-30,2025-07-01
2025-06-30,Göteborg,Sälg och viden,0,Level 0,2025-06-30,2025-07-01
2025-07-01,Göteborg,Al,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Alm,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Björk,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Bok,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Ek,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Gräs,6,Level 6,2025-07-01,2025-07-02
2025-07-01,Göteborg,Gråbo,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Hassel,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Malörtsambrosia,0,Level 0,2025-07-01,2025-07-02
2025-07-01,Göteborg,Sälg och viden,0,Level 0,2025-07-01,2025-07-02
2025-07-02,Göteborg,Al,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Alm,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Björk,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Bok,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Ek,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Gräs,5,Level 5,2025-07-02,2025-07-03
2025-07-02,Göteborg,Gråbo,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Hassel,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Malörtsambrosia,0,Level 0,2025-07-02,2025-07-03
2025-07-02,Göteborg,Sälg och viden,0,Level 0,2025-07-02,2025-07-03
2025-07-03,Göteborg,Al,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Alm,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Björk,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Bok,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Ek,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Gräs,4,Level 4,2025-07-03,2025-07-04
2025-07-03,Göteborg,Gråbo,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Hassel,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Malörtsambrosia,0,Level 0,2025-07-03,2025-07-04
2025-07-03,Göteborg,Sälg och viden,0,Level 0,2025-07-03,2025-07-04
2025-07-04,Göteborg,Al,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Alm,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Björk,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Bok,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Ek,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Gräs,2,Level 2,2025-07-04,2025-07-07
2025-07-04,Göteborg,Gråbo,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Hassel,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Malörtsambrosia,0,Level 0,2025-07-04,2025-07-07
2025-07-04,Göteborg,Sälg och viden,0,Level 0,2025-07-04,2025-07-07
2025-07-07,Göteborg,Al,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Alm,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Björk,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Bok,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Ek,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Gräs,2,Level 2,2025-07-07,2025-07-08
2025-07-07,Göteborg,Gråbo,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Hassel,0,Level 0,2025-07-07,2025-07-08
2025-07-07,Göteborg,Malörtsambrosia,0,Level 0,2025-07-07,2025-07-08
